,Date,Time,Location,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,Elo_HomeTeam,Elo_AwayTeam,Temperature,Humidity,Wind Speed,Condition
33,2024-04-03,19:30,EGLL,Brentford,Brighton,0,0,D,0,0,D,A Madley,5,24,2,6,9,12,1,5,1,1,0,0,2.3839999999999995,3.748,2.742,1723.54150391,1773.12060547,52.8125,80.35416666666667,14.166666666666666,Cloudy
34,2024-04-03,19:30,EGLC,Arsenal,Luton,2,0,H,2,0,H,C Pawson,13,5,4,1,12,8,3,1,1,1,0,0,1.094,10.664,20.99,1960.53833008,1609.03393555,53.583333333333336,77.45833333333333,12.145833333333334,Cloudy
35,2024-04-02,19:45,EGHH,Bournemouth,Crystal Palace,1,0,H,0,0,D,G Scott,11,3,6,2,13,14,9,2,3,2,0,0,1.98,3.729999999999999,3.648000000000001,1716.7779541,1703.33911133,50.67567567567568,91.64864864864865,13.243243243243244,Mostly Cloudy
36,2024-04-02,19:30,EGNT,Newcastle,Everton,1,1,D,1,0,H,T Harrington,18,10,6,3,9,14,7,3,0,3,0,0,2.006,3.782,3.524,1808.19360352,1701.75830078,42.212765957446805,94.72340425531917,2.127659574468085,Mostly Cloudy
37,2024-04-02,19:45,EGNM,Burnley,Wolves,1,1,D,1,1,D,T Bramall,13,8,6,2,10,12,7,4,0,2,0,0,2.51,3.4879999999999995,2.756,1639.07580566,1741.81323242,46.333333333333336,85.47916666666667,5.375,Partly Cloudy
38,2024-04-02,20:15,EGLC,West Ham,Tottenham,1,1,D,1,1,D,J Brooks,11,13,4,4,13,9,9,5,1,4,0,0,3.2559999999999993,4.148000000000001,1.992,1784.5690918,1843.97827148,52.375,77.125,10.4375,Mostly Cloudy
39,2024-03-31,16:30,EGCC,Man City,Arsenal,0,0,D,0,0,D,A Taylor,12,6,1,2,9,20,7,4,0,2,0,0,1.904,3.732,3.818,2052.29907227,1956.6348877,43.0,76.0,2.5,Fair
40,2024-03-31,14:00,EGGP,Liverpool,Brighton,2,1,H,1,1,D,D Coote,30,9,8,3,20,6,8,4,5,3,0,0,1.362,5.492,7.264,1967.69360352,1775.88256836,46.0,76.0,9.5,Fair
41,2024-03-30,20:00,EGLL,Brentford,Man United,1,1,D,0,0,D,S Hooper,31,11,5,5,7,14,14,4,2,2,0,0,3.018,3.772,2.1740000000000004,1722.21008301,1814.65649414,48.791666666666664,71.4375,5.9375,Fair
42,2024-03-30,17:30,EGBB,Aston Villa,Wolves,2,0,H,1,0,H,P Tierney,11,13,5,3,11,19,5,4,3,4,0,0,1.622,4.264,4.88,1836.8079834,1748.51184082,46.02127659574468,76.91489361702128,6.425531914893617,Fair
